lemma,fin:sg:pri:perf,fin:sg:pri:imperf,fin:sg:sec:perf,fin:sg:sec:imperf,fin:sg:ter:perf,fin:sg:ter:imperf,fin:pl:pri:perf,fin:pl:pri:imperf,fin:pl:sec:perf,fin:pl:sec:imperf,fin:pl:ter:perf,fin:pl:ter:imperf,praet:sg:f:perf,praet:sg:f:imperf,praet:sg:m1.m2.m3:perf,praet:sg:m1.m2.m3:imperf,praet:pl:m2.m3.f.n1.n2.p2.p3:perf,praet:pl:m2.m3.f.n1.n2.p2.p3:imperf,ppron3:sg:nom:m1.m2.m3:ter:_:_
obrukać,obrukam,,obrukasz,,obruka,,obrukamy,,obrukacie,,obrukają,,obrukała,,obrukał,,obrukały,,
obrumieniać,,obrumieniam,,obrumieniasz,,obrumienia,,obrumieniamy,,obrumieniacie,,obrumieniają,,obrumieniała,,obrumieniał,,obrumieniały,
obrumienić,obrumienię,,obrumienisz,,obrumieni,,obrumienimy,,obrumienicie,,obrumienią,,obrumieniła,,obrumienił,,obrumieniły,,
obruszać,,obruszam,,obruszasz,,obrusza,,obruszamy,,obruszacie,,obruszają,,obruszała,,obruszał,,obruszały,
obruszyć,obruszę,,obruszysz,,obruszy,,obruszymy,,obruszycie,,obruszą,,obruszyła,,obruszył,,obruszyły,,
obryć,obryję,,obryjesz,,obryje,,obryjemy,,obryjecie,,obryją,,obryła,,obrył,,obryły,,
obrylantować,obrylantuję,,obrylantujesz,,obrylantuje,,obrylantujemy,,obrylantujecie,,obrylantują,,obrylantowała,,obrylantował,,obrylantowały,,
obrypać,obrypię,,obrypiesz,,obrypie,,obrypiemy,,obrypiecie,,obrypią,,obrypała,,obrypał,,obrypały,,
obrypywać,,obrypuję,,obrypujesz,,obrypuje,,obrypujemy,,obrypujecie,,obrypują,,obrypywała,,obrypywał,,obrypywały,
obrysować,obrysuję,,obrysujesz,,obrysuje,,obrysujemy,,obrysujecie,,obrysują,,obrysowała,,obrysował,,obrysowały,,
obrysowywać,,obrysowuję,,obrysowujesz,,obrysowuje,,obrysowujemy,,obrysowujecie,,obrysowują,,obrysowywała,,obrysowywał,,obrysowywały,
obrywać,,obrywam,,obrywasz,,obrywa,,obrywamy,,obrywacie,,obrywają,,obrywała,,obrywał,,obrywały,
obryzgać,obryzgam,,obryżdżesz,,obryżdże,,obryzgamy,,obryżdżecie,,obryzgają,,obryzgała,,obryzgał,,obryzgały,,
obryzgiwać,,obryzguję,,obryzgujesz,,obryzguje,,obryzgujemy,,obryzgujecie,,obryzgują,,obryzgiwała,,obryzgiwał,,obryzgiwały,
obryzgnąć,obryzgnę,,obryzgniesz,,obryzgnie,,obryzgniemy,,obryzgniecie,,obryzgną,,obryzgnęła,,obryzgnął,,obryzgnęły,,
obryznąć,obryznę,,obryźniesz,,obryźnie,,obryźniemy,,obryźniecie,,obryzną,,obryznęła,,obryznął,,obryznęły,,
obrzasnąć,obrzasnę,,obrzaśniesz,,obrzaśnie,,obrzaśniemy,,obrzaśniecie,,obrzasną,,obrzasnęła,,obrzasnął,,obrzasnęły,,
obrządzać,,obrządzam,,obrządzasz,,obrządza,,obrządzamy,,obrządzacie,,obrządzają,,obrządzała,,obrządzał,,obrządzały,
obrządzić,obrządzę,,obrządzisz,,obrządzi,,obrządzimy,,obrządzicie,,obrządzą,,obrządziła,,obrządził,,obrządziły,,
obrzezać,obrzezam,,obrzezasz,,obrzeza,,obrzezamy,,obrzezacie,,obrzezają,,obrzezała,,obrzezał,,obrzezały,,
obrzezywać,,obrzezuję,,obrzezujesz,,obrzezuje,,obrzezujemy,,obrzezujecie,,obrzezują,,obrzezywała,,obrzezywał,,obrzezywały,
obrzeżać,,obrzeżam,,obrzeżasz,,obrzeża,,obrzeżamy,,obrzeżacie,,obrzeżają,,obrzeżała,,obrzeżał,,obrzeżały,
obrzeżyć,obrzeżę,,obrzeżysz,,obrzeży,,obrzeżymy,,obrzeżycie,,obrzeżą,,obrzeżyła,,obrzeżył,,obrzeżyły,,
obrzękać,,obrzękam,,obrzękasz,,obrzęka,,obrzękamy,,obrzękacie,,obrzękają,,obrzękała,,obrzękał,,obrzękały,
obrzęknąć,obrzęknę,,obrzękniesz,,obrzęknie,,obrzękniemy,,obrzękniecie,,obrzękną,,obrzękła,,obrzękł,,obrzękły,,
obrzępolić,obrzępolę,,obrzępolisz,,obrzępoli,,obrzępolimy,,obrzępolicie,,obrzępolą,,obrzępoliła,,obrzępolił,,obrzępoliły,,
obrzmieć,obrzmię,,obrzmisz,,obrzmi,,obrzmimy,,obrzmicie,,obrzmią,,obrzmiała,,obrzmiał,,obrzmiały,,
obrzmiewać,,obrzmiewam,,obrzmiewasz,,obrzmiewa,,obrzmiewamy,,obrzmiewacie,,obrzmiewają,,obrzmiewała,,obrzmiewał,,obrzmiewały,
obrzucać,,obrzucam,,obrzucasz,,obrzuca,,obrzucamy,,obrzucacie,,obrzucają,,obrzucała,,obrzucał,,obrzucały,
obrzucić,obrzucę,,obrzucisz,,obrzuci,,obrzucimy,,obrzucicie,,obrzucą,,obrzuciła,,obrzucił,,obrzuciły,,
