lemma,fin:sg:pri:perf,fin:sg:pri:imperf,fin:sg:sec:perf,fin:sg:sec:imperf,fin:sg:ter:perf,fin:sg:ter:imperf,fin:pl:pri:perf,fin:pl:pri:imperf,fin:pl:sec:perf,fin:pl:sec:imperf,fin:pl:ter:perf,fin:pl:ter:imperf,praet:sg:f:perf,praet:sg:f:imperf,praet:sg:m1.m2.m3:perf,praet:sg:m1.m2.m3:imperf,praet:pl:m2.m3.f.n1.n2.p2.p3:perf,praet:pl:m2.m3.f.n1.n2.p2.p3:imperf,ppron3:sg:nom:m1.m2.m3:ter:_:_
zabrylantowieć,zabrylantowieję,,zabrylantowiejesz,,zabrylantowieje,,zabrylantowiejemy,,zabrylantowiejecie,,zabrylantowieją,,zabrylantowiała,,zabrylantowiał,,zabrylantowiały,,
zabrylować,zabryluję,,zabrylujesz,,zabryluje,,zabrylujemy,,zabrylujecie,,zabrylują,,zabrylowała,,zabrylował,,zabrylowały,,
zabryzgać,zabryzgam,,zabryzgasz,,zabryżdże,,zabryżdżemy,,zabryżdżecie,,zabryżdżą,,zabryzgała,,zabryzgał,,zabryzgały,,
zabryzgiwać,,zabryzguję,,zabryzgujesz,,zabryzguje,,zabryzgujemy,,zabryzgujecie,,zabryzgują,,zabryzgiwała,,zabryzgiwał,,zabryzgiwały,
zabrząkać,zabrząkam,,zabrząkasz,,zabrząka,,zabrząkamy,,zabrząkacie,,zabrząkają,,zabrząkała,,zabrząkał,,zabrząkały,,
zabrząknąć,zabrząknę,,zabrząkniesz,,zabrząknie,,zabrząkniemy,,zabrząkniecie,,zabrząkną,,zabrząknęła,,zabrząknął,,zabrząknęły,,
zabrzdąkać,zabrzdąkam,,zabrzdąkasz,,zabrzdąka,,zabrzdąkamy,,zabrzdąkacie,,zabrzdąkają,,zabrzdąkała,,zabrzdąkał,,zabrzdąkały,,
zabrzdękać,zabrzdękam,,zabrzdękasz,,zabrzdęka,,zabrzdękamy,,zabrzdękacie,,zabrzdękają,,zabrzdękała,,zabrzdękał,,zabrzdękały,,
zabrzęczeć,zabrzęczę,,zabrzęczysz,,zabrzęczy,,zabrzęczymy,,zabrzęczycie,,zabrzęczą,,zabrzęczała,,zabrzęczał,,zabrzęczały,,
zabrzękać,zabrzękam,,zabrzękasz,,zabrzęka,,zabrzękamy,,zabrzękacie,,zabrzękają,,zabrzękała,,zabrzękał,,zabrzękały,,
zabrzęknąć,zabrzęknę,,zabrzękniesz,,zabrzęknie,,zabrzękniemy,,zabrzękniecie,,zabrzękną,,zabrzękła,,zabrzękł,,zabrzękły,,
zabrzmieć,zabrzmię,,zabrzmisz,,zabrzmi,,zabrzmimy,,zabrzmicie,,zabrzmią,,zabrzmiała,,zabrzmiał,,zabrzmiały,,
zabrzydzać,,zabrzydzam,,zabrzydzasz,,zabrzydza,,zabrzydzamy,,zabrzydzacie,,zabrzydzają,,zabrzydzała,,zabrzydzał,,zabrzydzały,
zabrzydzić,zabrzydzę,,zabrzydzisz,,zabrzydzi,,zabrzydzimy,,zabrzydzicie,,zabrzydzą,,zabrzydziła,,zabrzydził,,zabrzydziły,,
zabsolutyzować,zabsolutyzuję,,zabsolutyzujesz,,zabsolutyzuje,,zabsolutyzujemy,,zabsolutyzujecie,,zabsolutyzują,,zabsolutyzowała,,zabsolutyzował,,zabsolutyzowały,,
zabsorbować,zabsorbuję,,zabsorbujesz,,zabsorbuje,,zabsorbujemy,,zabsorbujecie,,zabsorbują,,zabsorbowała,,zabsorbował,,zabsorbowały,,
zabsurdalizować,zabsurdalizuję,,zabsurdalizujesz,,zabsurdalizuje,,zabsurdalizujemy,,zabsurdalizujecie,,zabsurdalizują,,zabsurdalizowała,,zabsurdalizował,,zabsurdalizowały,,
zabszytować,zabszytuję,,zabszytujesz,,zabszytuje,,zabszytujemy,,zabszytujecie,,zabszytują,,zabszytowała,,zabszytował,,zabszytowały,,
zabuczeć,zabuczę,,zabuczysz,,zabuczy,,zabuczymy,,zabuczycie,,zabuczą,,zabuczała,,zabuczał,,zabuczały,,
zabudować,zabuduję,,zabudujesz,,zabuduje,,zabudujemy,,zabudujecie,,zabudują,,zabudowała,,zabudował,,zabudowały,,
zabudowywać,,zabudowuję,,zabudowujesz,,zabudowuje,,zabudowujemy,,zabudowujecie,,zabudowują,,zabudowywała,,zabudowywał,,zabudowywały,
zabujać,zabujam,,zabujasz,,zabuja,,zabujamy,,zabujacie,,zabujają,,zabujała,,zabujał,,zabujały,,
zabukować,zabukuję,,zabukujesz,,zabukuje,,zabukujemy,,zabukujecie,,zabukują,,zabukowała,,zabukował,,zabukowały,,
zabukowywać,,zabukowuję,,zabukowujesz,,zabukowuje,,zabukowujemy,,zabukowujecie,,zabukowują,,zabukowywała,,zabukowywał,,zabukowywały,
zabuksować,zabuksuję,,zabuksujesz,,zabuksuje,,zabuksujemy,,zabuksujecie,,zabuksują,,zabuksowała,,zabuksował,,zabuksowały,,
zabulgotać,zabulgocę,,zabulgocesz,,zabulgoce,,zabulgocemy,,zabulgocecie,,zabulgocą,,zabulgotała,,zabulgotał,,zabulgotały,,
zabulić,zabulę,,zabulisz,,zabuli,,zabulimy,,zabulicie,,zabulą,,zabuliła,,zabulił,,zabuliły,,
zabundziuczyć,zabundziuczę,,zabundziuczysz,,zabundziuczy,,zabundziuczymy,,zabundziuczycie,,zabundziuczą,,zabundziuczyła,,zabundziuczył,,zabundziuczyły,,
zabunkrować,zabunkruję,,zabunkrujesz,,zabunkruje,,zabunkrujemy,,zabunkrujecie,,zabunkrują,,zabunkrowała,,zabunkrował,,zabunkrowały,,
zabuńdziuczyć,zabuńdziuczę,,zabuńdziuczysz,,zabuńdziuczy,,zabuńdziuczymy,,zabuńdziuczycie,,zabuńdziuczą,,zabuńdziuczyła,,zabuńdziuczył,,zabuńdziuczyły,,
zaburczeć,zaburczę,,zaburczysz,,zaburczy,,zaburczymy,,zaburczycie,,zaburczą,,zaburczała,,zaburczał,,zaburczały,,
zaburzać,,zaburzam,,zaburzasz,,zaburza,,zaburzamy,,zaburzacie,,zaburzają,,zaburzała,,zaburzał,,zaburzały,
zaburzyć,zaburzę,,zaburzysz,,zaburzy,,zaburzymy,,zaburzycie,,zaburzą,,zaburzyła,,zaburzył,,zaburzyły,,
zabutelkować,zabutelkuję,,zabutelkujesz,,zabutelkuje,,zabutelkujemy,,zabutelkujecie,,zabutelkują,,zabutelkowała,,zabutelkował,,zabutelkowały,,
zabutować,zabutuję,,zabutujesz,,zabutuje,,zabutujemy,,zabutujecie,,zabutują,,zabutowała,,zabutował,,zabutowały,,
zabyć,zabędę,,zabędziesz,,zabędzie,,zabędziemy,,zabędziecie,,zabędą,,zabyła,,zabył,,zabyły,,
zabywać,,zabywam,,zabywasz,,zabywa,,zabywamy,,zabywacie,,zabywają,,zabywała,,zabywał,,zabywały,
zabzyczeć,zabzyczę,,zabzyczysz,,zabzyczy,,zabzyczymy,,zabzyczycie,,zabzyczą,,zabzyczała,,zabzyczał,,zabzyczały,,
zabzykać,zabzykam,,zabzykasz,,zabzyka,,zabzykamy,,zabzykacie,,zabzykają,,zabzykała,,zabzykał,,zabzykały,,
zacałować,zacałuję,,zacałujesz,,zacałuje,,zacałujemy,,zacałujecie,,zacałują,,zacałowała,,zacałował,,zacałowały,,
zacałowywać,,zacałowuję,,zacałowujesz,,zacałowuje,,zacałowujemy,,zacałowujecie,,zacałowują,,zacałowywała,,zacałowywał,,zacałowywały,
zacapić,zacapię,,zacapisz,,zacapi,,zacapimy,,zacapicie,,zacapią,,zacapiła,,zacapił,,zacapiły,,
zacementować,zacementuję,,zacementujesz,,zacementuje,,zacementujemy,,zacementujecie,,zacementują,,zacementowała,,zacementował,,zacementowały,,
zacementowywać,,zacementowuję,,zacementowujesz,,zacementowuje,,zacementowujemy,,zacementowujecie,,zacementowują,,zacementowywała,,zacementowywał,,zacementowywały,
zacenić,zacenię,,zacenisz,,zaceni,,zacenimy,,zacenicie,,zacenią,,zaceniła,,zacenił,,zaceniły,,
zacentrować,zacentruję,,zacentrujesz,,zacentruje,,zacentrujemy,,zacentrujecie,,zacentrują,,zacentrowała,,zacentrował,,zacentrowały,,
zacerować,zaceruję,,zacerujesz,,zaceruje,,zacerujemy,,zacerujecie,,zacerują,,zacerowała,,zacerował,,zacerowały,,
zacewnikować,zacewnikuję,,zacewnikujesz,,zacewnikuje,,zacewnikujemy,,zacewnikujecie,,zacewnikują,,zacewnikowała,,zacewnikował,,zacewnikowały,,
zachachmęcać,,zachachmęcam,,zachachmęcasz,,zachachmęca,,zachachmęcamy,,zachachmęcacie,,zachachmęcają,,zachachmęcała,,zachachmęcał,,zachachmęcały,
zachachmęcić,zachachmęcę,,zachachmęcisz,,zachachmęci,,zachachmęcimy,,zachachmęcicie,,zachachmęcą,,zachachmęciła,,zachachmęcił,,zachachmęciły,,
zachadzać,,zachadzam,,zachadzasz,,zachadza,,zachadzamy,,zachadzacie,,zachadzają,,zachadzała,,zachadzał,,zachadzały,
zachałturzyć,zachałturzę,,zachałturzysz,,zachałturzy,,zachałturzymy,,zachałturzycie,,zachałturzą,,zachałturzyła,,zachałturzył,,zachałturzyły,,
zachapać,zachapię,,zachapiesz,,zachapie,,zachapiemy,,zachapiecie,,zachapią,,zachapała,,zachapał,,zachapały,,
zachapnąć,zachapnę,,zachapniesz,,zachapnie,,zachapniemy,,zachapniecie,,zachapną,,zachapnęła,,zachapnął,,zachapnęły,,
zacharczeć,zacharczę,,zacharczysz,,zacharczy,,zacharczymy,,zacharczycie,,zacharczą,,zacharczała,,zacharczał,,zacharczały,,
zacharkać,zacharkam,,zacharkasz,,zacharka,,zacharkamy,,zacharkacie,,zacharkają,,zacharkała,,zacharkał,,zacharkały,,
zachcieć,zachcę,,zachcesz,,zachce,,zachcemy,,zachcecie,,zachcą,,zachciała,,zachciał,,zachciały,,
zachciewać,,zachciewam,,zachciewasz,,zachciewa,,zachciewamy,,zachciewacie,,zachciewają,,zachciewała,,zachciewał,,zachciewały,
zachęcać,,zachęcam,,zachęcasz,,zachęca,,zachęcamy,,zachęcacie,,zachęcają,,zachęcała,,zachęcał,,zachęcały,
zachęcić,zachęcę,,zachęcisz,,zachęci,,zachęcimy,,zachęcicie,,zachęcą,,zachęciła,,zachęcił,,zachęciły,,
zachichać,zachicham,,zachichasz,,zachicha,,zachichamy,,zachichacie,,zachichają,,zachichała,,zachichał,,zachichały,,
zachichotać,zachichoczę,,zachichoczesz,,zachichocze,,zachichoczemy,,zachichoczecie,,zachichoczą,,zachichotała,,zachichotał,,zachichotały,,
zachipować,zachipuję,,zachipujesz,,zachipuje,,zachipujemy,,zachipujecie,,zachipują,,zachipowała,,zachipował,,zachipowały,,
zachlać,zachleję,,zachlasz,,zachleje,,zachlamy,,zachlacie,,zachleją,,zachlała,,zachlał,,zachlały,,
zachlapać,zachlapię,,zachlapiesz,,zachlapie,,zachlapiemy,,zachlapiecie,,zachlapią,,zachlapała,,zachlapał,,zachlapały,,
zachlapywać,,zachlapuję,,zachlapujesz,,zachlapuje,,zachlapujemy,,zachlapujecie,,zachlapują,,zachlapywała,,zachlapywał,,zachlapywały,
zachlastać,zachlaszczę,,zachlaszczesz,,zachlasta,,zachlastamy,,zachlastacie,,zachlastają,,zachlastała,,zachlastał,,zachlastały,,
zachlastywać,,zachlastuję,,zachlastujesz,,zachlastuje,,zachlastujemy,,zachlastujecie,,zachlastują,,zachlastywała,,zachlastywał,,zachlastywały,
zachlewać,,zachlewam,,zachlewasz,,zachlewa,,zachlewamy,,zachlewacie,,zachlewają,,zachlewała,,zachlewał,,zachlewały,
zachlipać,zachlipię,,zachlipiesz,,zachlipie,,zachlipiemy,,zachlipiecie,,zachlipią,,zachlipała,,zachlipał,,zachlipały,,
zachlipnąć,zachlipnę,,zachlipniesz,,zachlipnie,,zachlipniemy,,zachlipniecie,,zachlipną,,zachlipnęła,,zachlipnął,,zachlipnęły,,
zachloroformować,zachloroformuję,,zachloroformujesz,,zachloroformuje,,zachloroformujemy,,zachloroformujecie,,zachloroformują,,zachloroformowała,,zachloroformował,,zachloroformowały,,
zachlorować,zachloruję,,zachlorujesz,,zachloruje,,zachlorujemy,,zachlorujecie,,zachlorują,,zachlorowała,,zachlorował,,zachlorowały,,
zachlupać,zachlupię,,zachlupiesz,,zachlupie,,zachlupiemy,,zachlupiecie,,zachlupią,,zachlupała,,zachlupał,,zachlupały,,
zachlupotać,zachlupocę,,zachlupocesz,,zachlupoce,,zachlupocemy,,zachlupocecie,,zachlupocą,,zachlupotała,,zachlupotał,,zachlupotały,,
zachlusnąć,zachlusnę,,zachluśniesz,,zachluśnie,,zachluśniemy,,zachluśniecie,,zachlusną,,zachlusnęła,,zachlusnął,,zachlusnęły,,
zachlustać,zachluszczę,,zachluszczesz,,zachlusta,,zachlustamy,,zachlustacie,,zachluszczą,,zachlustała,,zachlustał,,zachlustały,,
zachłostać,zachłoszczę,,zachłoszczesz,,zachłosta,,zachłoszczemy,,zachłoszczecie,,zachłoszczą,,zachłostała,,zachłostał,,zachłostały,,
zachłysnąć,zachłysnę,,zachłyśniesz,,zachłyśnie,,zachłyśniemy,,zachłyśniecie,,zachłysną,,zachłysnęła,,zachłysnął,,zachłysnęły,,
zachłystać,,zachłystam,,zachłystasz,,zachłysta,,zachłystamy,,zachłystacie,,zachłystają,,zachłystała,,zachłystał,,zachłystały,
zachłystnąć,zachłystnę,,zachłystniesz,,zachłystnie,,zachłystniemy,,zachłystniecie,,zachłystną,,zachłystnęła,,zachłystnął,,zachłystnęły,,
zachłystywać,,zachłystuję,,zachłystujesz,,zachłystuje,,zachłystujemy,,zachłystujecie,,zachłystują,,zachłystywała,,zachłystywał,,zachłystywały,
zachmurzać,,zachmurzam,,zachmurzasz,,zachmurza,,zachmurzamy,,zachmurzacie,,zachmurzają,,zachmurzała,,zachmurzał,,zachmurzały,
zachmurzyć,zachmurzę,,zachmurzysz,,zachmurzy,,zachmurzymy,,zachmurzycie,,zachmurzą,,zachmurzyła,,zachmurzył,,zachmurzyły,,
zachodzić,,zachodzę,,zachodzisz,,zachodzi,,zachodzimy,,zachodzicie,,zachodzą,,zachodziła,,zachodził,,zachodziły,
zachomikować,zachomikuję,,zachomikujesz,,zachomikuje,,zachomikujemy,,zachomikujecie,,zachomikują,,zachomikowała,,zachomikował,,zachomikowały,,
zachorować,zachoruję,,zachorujesz,,zachoruje,,zachorujemy,,zachorujecie,,zachorują,,zachorowała,,zachorował,,zachorowały,,
zachorzeć,zachorzeję,,zachorzejesz,,zachorzeje,,zachorzejemy,,zachorzejecie,,zachorzeją,,zachorzała,,zachorzał,,zachorzały,,
zachować,zachowam,,zachowasz,,zachowa,,zachowamy,,zachowacie,,zachowają,,zachowała,,zachował,,zachowały,,
zachowywać,,zachowuję,,zachowujesz,,zachowuje,,zachowujemy,,zachowujecie,,zachowują,,zachowywała,,zachowywał,,zachowywały,
zachrapać,zachrapię,,zachrapiesz,,zachrapie,,zachrapiemy,,zachrapiecie,,zachrapią,,zachrapała,,zachrapał,,zachrapały,,
zachrobotać,zachrobocę,,zachrobocesz,,zachroboce,,zachrobocemy,,zachrobocecie,,zachrobocą,,zachrobotała,,zachrobotał,,zachrobotały,,
zachromać,zachromam,,zachromasz,,zachroma,,zachromamy,,zachromacie,,zachromają,,zachromała,,zachromał,,zachromały,,
zachromieć,zachromieję,,zachromiejesz,,zachromieje,,zachromiejemy,,zachromiejecie,,zachromieją,,zachromiała,,zachromiał,,zachromiały,,
zachrumkać,zachrumkam,,zachrumkasz,,zachrumka,,zachrumkamy,,zachrumkacie,,zachrumkają,,zachrumkała,,zachrumkał,,zachrumkały,,
zachrupotać,zachrupoczę,,zachrupoczesz,,zachrupocze,,zachrupoczemy,,zachrupoczecie,,zachrupocą,,zachrupotała,,zachrupotał,,zachrupotały,,
zachrypieć,zachrypię,,zachrypisz,,zachrypi,,zachrypimy,,zachrypicie,,zachrypią,,zachrypiała,,zachrypiał,,zachrypiały,,
zachrypnąć,zachrypnę,,zachrypniesz,,zachrypnie,,zachrypniemy,,zachrypniecie,,zachrypną,,zachrypła,,zachrypł,,zachrypły,,
zachrzaniać,,zachrzaniam,,zachrzaniasz,,zachrzania,,zachrzaniamy,,zachrzaniacie,,zachrzaniają,,zachrzaniała,,zachrzaniał,,zachrzaniały,
zachrzanić,zachrzanię,,zachrzanisz,,zachrzani,,zachrzanimy,,zachrzanicie,,zachrzanią,,zachrzaniła,,zachrzanił,,zachrzaniły,,
zachrzęsnąć,zachrzęsnę,,zachrzęśniesz,,zachrzęśnie,,zachrzęśniemy,,zachrzęśniecie,,zachrzęsną,,zachrzęsnęła,,zachrzęsnął,,zachrzęsnęły,,
zachrzęścić,zachrzęszczę,,zachrzęścisz,,zachrzęści,,zachrzęścimy,,zachrzęścicie,,zachrzęszczą,,zachrzęściła,,zachrzęścił,,zachrzęściły,,
zachrzęścieć,zachrzęszczę,,zachrzęścisz,,zachrzęści,,zachrzęścimy,,zachrzęścicie,,zachrzęszczą,,zachrzęściała,,zachrzęściał,,zachrzęściały,,
zachrzypiać,,zachrzypiam,,zachrzypiasz,,zachrzypia,,zachrzypiamy,,zachrzypiacie,,zachrzypiają,,zachrzypiała,,zachrzypiał,,zachrzypiały,
zachrzypieć,zachrzypię,,zachrzypisz,,zachrzypi,,zachrzypimy,,zachrzypicie,,zachrzypią,,zachrzypiała,,zachrzypiał,,zachrzypiały,,
zachrzypnąć,zachrzypnę,,zachrzypniesz,,zachrzypnie,,zachrzypniemy,,zachrzypniecie,,zachrzypną,,zachrzypła,,zachrzypł,,zachrzypły,,
zachudnąć,zachudnę,,zachudniesz,,zachudnie,,zachudniemy,,zachudniecie,,zachudną,,zachudła,,zachudł,,zachudły,,
zachwalać,,zachwalam,,zachwalasz,,zachwala,,zachwalamy,,zachwalacie,,zachwalają,,zachwalała,,zachwalał,,zachwalały,
zachwalić,zachwalę,,zachwalisz,,zachwali,,zachwalimy,,zachwalicie,,zachwalą,,zachwaliła,,zachwalił,,zachwaliły,,
zachwaszczać,,zachwaszczam,,zachwaszczasz,,zachwaszcza,,zachwaszczamy,,zachwaszczacie,,zachwaszczają,,zachwaszczała,,zachwaszczał,,zachwaszczały,
zachwaścić,zachwaszczę,,zachwaścisz,,zachwaści,,zachwaścimy,,zachwaścicie,,zachwaszczą,,zachwaściła,,zachwaścił,,zachwaściły,,
zachwiać,zachwieję,,zachwiejesz,,zachwieje,,zachwiejemy,,zachwiejecie,,zachwieją,,zachwiała,,zachwiał,,zachwiały,,
zachwierutać,zachwierutam,,zachwierutasz,,zachwieruta,,zachwierutamy,,zachwierutacie,,zachwierutają,,zachwierutała,,zachwierutał,,zachwierutały,,
zachwiewać,,zachwiewam,,zachwiewasz,,zachwiewa,,zachwiewamy,,zachwiewacie,,zachwiewają,,zachwiewała,,zachwiewał,,zachwiewały,
zachwycać,,zachwycam,,zachwycasz,,zachwyca,,zachwycamy,,zachwycacie,,zachwycają,,zachwycała,,zachwycał,,zachwycały,
zachwycić,zachwycę,,zachwycisz,,zachwyci,,zachwycimy,,zachwycicie,,zachwycą,,zachwyciła,,zachwycił,,zachwyciły,,
zachwytywać,,zachwytuję,,zachwytujesz,,zachwytuje,,zachwytujemy,,zachwytujecie,,zachwytują,,zachwytywała,,zachwytywał,,zachwytywały,
zachybotać,zachyboczę,,zachybocesz,,zachybocze,,zachybocemy,,zachybocecie,,zachybocą,,zachybotała,,zachybotał,,zachybotały,,
zachylać,,zachylam,,zachylasz,,zachyla,,zachylamy,,zachylacie,,zachylają,,zachylała,,zachylał,,zachylały,
zachylić,zachylę,,zachylisz,,zachyli,,zachylimy,,zachylicie,,zachylą,,zachyliła,,zachylił,,zachyliły,,
zaciapać,zaciapię,,zaciapiesz,,zaciapie,,zaciapiemy,,zaciapiecie,,zaciapią,,zaciapała,,zaciapał,,zaciapały,,
zaciapywać,,zaciapuję,,zaciapujesz,,zaciapuje,,zaciapujemy,,zaciapujecie,,zaciapują,,zaciapywała,,zaciapywał,,zaciapywały,
zaciąć,zatnę,,zatniesz,,zatnie,,zatniemy,,zatniecie,,zatną,,zacięła,,zaciął,,zacięły,,
zaciągać,,zaciągam,,zaciągasz,,zaciąga,,zaciągamy,,zaciągacie,,zaciągają,,zaciągała,,zaciągał,,zaciągały,
zaciągnąć,zaciągnę,,zaciągniesz,,zaciągnie,,zaciągniemy,,zaciągniecie,,zaciągną,,zaciągnęła,,zaciągnął,,zaciągnęły,,
zaciążyć,zaciążę,,zaciążysz,,zaciąży,,zaciążymy,,zaciążycie,,zaciążą,,zaciążyła,,zaciążył,,zaciążyły,,
zacichać,,zacicham,,zacichasz,,zacicha,,zacichamy,,zacichacie,,zacichają,,zacichała,,zacichał,,zacichały,
zacichnąć,zacichnę,,zacichniesz,,zacichnie,,zacichniemy,,zacichniecie,,zacichną,,zacichła,,zacichł,,zacichły,,
zaciec,zaciekę,,zacieczesz,,zaciecze,,zacieczemy,,zaciekniecie,,zacieką,,zaciekła,,zaciekł,,zaciekły,,
zaciekać,,zaciekam,,zaciekasz,,zacieka,,zaciekamy,,zaciekacie,,zaciekają,,zaciekała,,zaciekał,,zaciekały,
zaciekawiać,,zaciekawiam,,zaciekawiasz,,zaciekawia,,zaciekawiamy,,zaciekawiacie,,zaciekawiają,,zaciekawiała,,zaciekawiał,,zaciekawiały,
zaciekawić,zaciekawię,,zaciekawisz,,zaciekawi,,zaciekawimy,,zaciekawicie,,zaciekawią,,zaciekawiła,,zaciekawił,,zaciekawiły,,
zacielać,,zacielam,,zacielasz,,zaciela,,zacielamy,,zacielacie,,zacielają,,zacielała,,zacielał,,zacielały,
zacielić,zacielę,,zacielisz,,zacieli,,zacielimy,,zacielicie,,zacielą,,zacieliła,,zacielił,,zacieliły,,
zaciemiać,,zaciemiam,,zaciemiasz,,zaciemia,,zaciemiamy,,zaciemiacie,,zaciemiają,,zaciemiała,,zaciemiał,,zaciemiały,
zaciemić,zaciemię,,zaciemisz,,zaciemi,,zaciemimy,,zaciemicie,,zaciemią,,zaciemiła,,zaciemił,,zaciemiły,,
zaciemniać,,zaciemniam,,zaciemniasz,,zaciemnia,,zaciemniamy,,zaciemniacie,,zaciemniają,,zaciemniała,,zaciemniał,,zaciemniały,
zaciemnić,zaciemnię,,zaciemnisz,,zaciemni,,zaciemnimy,,zaciemnicie,,zaciemnią,,zaciemniła,,zaciemnił,,zaciemniły,,
zaciemnieć,zaciemnieję,,zaciemniejesz,,zaciemnieje,,zaciemniejemy,,zaciemniejecie,,zaciemnieją,,zaciemniała,,zaciemniał,,zaciemniały,,
zacieniać,,zacieniam,,zacieniasz,,zacienia,,zacieniamy,,zacieniacie,,zacieniają,,zacieniała,,zacieniał,,zacieniały,
zacienić,zacienię,,zacienisz,,zacieni,,zacienimy,,zacienicie,,zacienią,,zacieniła,,zacienił,,zacieniły,,
zacieniować,zacieniuję,,zacieniujesz,,zacieniuje,,zacieniujemy,,zacieniujecie,,zacieniują,,zacieniowała,,zacieniował,,zacieniowały,,
zacieniowywać,,zacieniowuję,,zacieniowujesz,,zacieniowuje,,zacieniowujemy,,zacieniowujecie,,zacieniowują,,zacieniowywała,,zacieniowywał,,zacieniowywały,
zacieplić,zacieplę,,zacieplisz,,zaciepli,,zacieplimy,,zacieplicie,,zacieplą,,zaciepliła,,zacieplił,,zaciepliły,,
zacierać,,zacieram,,zacierasz,,zaciera,,zacieramy,,zacieracie,,zacierają,,zacierała,,zacierał,,zacierały,
zacierniać,,zacierniam,,zacierniasz,,zaciernia,,zacierniamy,,zacierniacie,,zacierniają,,zacierniała,,zacierniał,,zacierniały,
zaciernić,zaciernię,,zaciernisz,,zacierni,,zaciernimy,,zaciernicie,,zaciernią,,zacierniła,,zaciernił,,zacierniły,,
zacierpieć,zacierpię,,zacierpisz,,zacierpi,,zacierpimy,,zacierpicie,,zacierpią,,zacierpiała,,zacierpiał,,zacierpiały,,
zacieśniać,,zacieśniam,,zacieśniasz,,zacieśnia,,zacieśniamy,,zacieśniacie,,zacieśniają,,zacieśniała,,zacieśniał,,zacieśniały,
zacieśnić,zacieśnię,,zacieśnisz,,zacieśni,,zacieśnimy,,zacieśnicie,,zacieśnią,,zacieśniła,,zacieśnił,,zacieśniły,,
zacietrzewiać,,zacietrzewiam,,zacietrzewiasz,,zacietrzewia,,zacietrzewiamy,,zacietrzewiacie,,zacietrzewiają,,zacietrzewiała,,zacietrzewiał,,zacietrzewiały,
zacietrzewić,zacietrzewię,,zacietrzewisz,,zacietrzewi,,zacietrzewimy,,zacietrzewicie,,zacietrzewią,,zacietrzewiła,,zacietrzewił,,zacietrzewiły,,
zaciężyć,zaciężę,,zaciężysz,,zacięży,,zaciężymy,,zaciężycie,,zaciężą,,zaciężyła,,zaciężył,,zaciężyły,,
zacinać,,zacinam,,zacinasz,,zacina,,zacinamy,,zacinacie,,zacinają,,zacinała,,zacinał,,zacinały,
zaciorać,zacioram,,zaciorasz,,zaciora,,zacioramy,,zacioracie,,zaciorają,,zaciorała,,zaciorał,,zaciorały,,
zaciosać,zacioszę,,zacioszesz,,zaciesze,,zacioszemy,,zacieszecie,,zacioszą,,zaciosała,,zaciosał,,zaciosały,,
zaciosywać,,zaciosuję,,zaciosujesz,,zaciosuje,,zaciosujemy,,zaciosujecie,,zaciosują,,zaciosywała,,zaciosywał,,zaciosywały,
zaciskać,zaciskam,zaciskam,zaciskasz,zaciskasz,zaciska,zaciska,zaciskamy,zaciskamy,zaciskacie,zaciskacie,zaciskają,zaciskają,zaciskała,zaciskała,zaciskał,zaciskał,zaciskały,zaciskały,
zacisnąć,zacisnę,,zaciśniesz,,zaciśnie,,zaciśniemy,,zaciśniecie,,zacisną,,zacisnęła,,zacisnął,,zacisnęły,,
zaciszyć,zaciszę,,zaciszysz,,zaciszy,,zaciszymy,,zaciszycie,,zaciszą,,zaciszyła,,zaciszył,,zaciszyły,,
zaciukać,zaciukam,,zaciukasz,,zaciuka,,zaciukamy,,zaciukacie,,zaciukają,,zaciukała,,zaciukał,,zaciukały,,
zaciukiwać,,zaciukuję,,zaciukujesz,,zaciukuje,,zaciukujemy,,zaciukujecie,,zaciukują,,zaciukiwała,,zaciukiwał,,zaciukiwały,
zaciżbiać,,zaciżbiam,,zaciżbiasz,,zaciżbia,,zaciżbiamy,,zaciżbiacie,,zaciżbiają,,zaciżbiała,,zaciżbiał,,zaciżbiały,
zaciżbić,zaciżbię,,zaciżbisz,,zaciżbi,,zaciżbimy,,zaciżbicie,,zaciżbią,,zaciżbiła,,zaciżbił,,zaciżbiły,,
zacmokać,zacmokam,,zacmokasz,,zacmoka,,zacmokamy,,zacmokacie,,zacmokają,,zacmokała,,zacmokał,,zacmokały,,
zacmokiwać,,zacmokuję,,zacmokujesz,,zacmokuje,,zacmokujemy,,zacmokujecie,,zacmokują,,zacmokiwała,,zacmokiwał,,zacmokiwały,
zacofać,zacofam,,zacofasz,,zacofa,,zacofamy,,zacofacie,,zacofają,,zacofała,,zacofał,,zacofały,,
zacofnąć,zacofnę,,zacofniesz,,zacofnie,,zacofniemy,,zacofniecie,,zacofną,,zacofnęła,,zacofnął,,zacofnęły,,
zacofywać,,zacofuję,,zacofujesz,,zacofuje,,zacofujemy,,zacofujecie,,zacofują,,zacofywała,,zacofywał,,zacofywały,
zacuchnąć,zacuchnę,,zacuchniesz,,zacuchnie,,zacuchniemy,,zacuchniecie,,zacuchną,,zacuchła,,zacuchł,,zacuchnęły,,
zacukać,zacukam,,zacukasz,,zacuka,,zacukamy,,zacukacie,,zacukają,,zacukała,,zacukał,,zacukały,,
zacukiwać,,zacukuję,,zacukujesz,,zacukuje,,zacukujemy,,zacukujecie,,zacukują,,zacukiwała,,zacukiwał,,zacukiwały,
